C1,C2,D1,A1,C3,F1,C4,C5,F2,A2,F3,A3,F4,D2,F5,A4,D3,B1,A5,F6,D4,D5,E1,B2,E2,E3,A6,E4,F7,B3,F8,B4,F9,F10,B5,C6,C7
2,2,2,4,2,4,3,2,4,4,3,4,4,3,1,1,4,1,4,4,1,1,2,1,2,4,1,4,4,1,1,1,1,1,1,3,1
2,4,4,4,2,2,4,1,3,2,2,4,2,2,1,3,3,1,2,3,2,1,2,1,2,5,2,3,3,2,3,2,1,2,2,3,1
1,4,5,4,4,1,5,1,2,4,2,5,4,1,2,4,5,3,4,5,2,3,5,4,3,5,4,5,2,1,1,1,1,1,2,2,3
4,4,2,5,4,2,4,2,2,4,4,5,3,2,2,2,3,4,4,4,3,3,5,2,1,5,2,3,2,2,3,1,3,1,1,4,3
2,3,4,1,1,2,1,2,1,1,1,1,3,2,1,1,2,2,1,2,2,1,4,1,2,1,1,1,1,4,1,1,1,1,1,1,1
1,4,2,1,1,3,1,3,2,1,1,3,2,2,2,1,2,4,1,1,4,3,5,5,1,4,1,5,2,4,1,4,3,1,5,2,1
2,4,5,5,4,4,4,4,3,5,4,5,5,3,4,4,5,4,5,5,3,2,2,3,2,5,5,1,3,1,3,2,4,3,2,2,1
2,3,5,4,5,4,4,4,3,4,3,5,5,5,2,3,5,4,2,5,2,4,3,4,2,5,2,4,4,5,2,2,4,4,2,1,2
4,4,4,5,5,5,4,3,5,5,4,5,5,5,2,5,5,3,5,5,2,2,5,1,5,5,5,5,4,1,2,1,4,2,1,5,3
4,4,4,2,3,1,4,4,4,1,2,3,4,4,1,4,4,1,1,4,3,2,5,1,1,5,1,4,3,3,1,1,2,1,4,5,2
1,1,3,1,2,5,1,1,4,1,5,2,2,3,5,4,3,5,4,5,4,1,1,4,4,5,1,1,2,5,1,4,5,4,5,4,1
2,2,3,2,4,3,1,1,4,2,3,1,2,3,1,4,4,1,3,3,4,1,3,4,4,4,1,1,3,2,1,1,4,1,1,5,1
1,2,4,2,2,3,4,2,4,2,2,2,3,4,2,2,4,1,1,4,3,2,4,1,3,4,1,4,3,1,1,1,3,1,1,4,1
2,4,4,3,1,3,1,4,2,1,1,1,2,4,1,1,5,2,4,2,4,1,5,1,5,4,2,5,4,1,1,1,1,1,1,2,1
4,3,4,5,4,4,4,4,4,4,4,4,3,4,3,5,4,3,4,4,3,3,3,3,4,5,5,3,3,3,5,3,5,5,3,4,3
4,2,4,2,1,1,1,2,1,1,1,1,1,2,1,1,4,2,2,1,4,4,4,2,2,4,1,2,1,2,1,2,1,1,1,1,1
2,4,4,4,2,1,4,2,4,4,2,4,5,2,1,2,4,2,2,4,4,2,1,1,1,2,2,1,2,1,1,1,2,1,1,4,2
2,1,4,3,1,3,1,2,3,2,3,2,2,3,3,1,3,3,2,1,3,2,4,3,2,2,2,3,3,2,1,3,2,2,2,3,1
2,4,3,2,1,4,2,4,4,2,2,4,4,3,4,4,4,2,2,2,2,2,1,1,1,4,1,1,4,1,1,1,2,1,1,4,1
2,4,1,1,2,1,2,4,1,1,1,1,2,1,1,4,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1
2,5,5,2,4,5,4,4,4,2,3,2,3,2,2,4,4,4,2,4,4,2,3,2,2,4,2,3,4,1,4,1,4,2,1,5,4
4,4,3,4,4,4,4,4,4,4,3,2,4,3,4,4,2,2,2,4,2,2,4,2,4,4,3,4,3,2,2,2,4,2,2,4,2
5,5,4,2,3,3,5,5,2,2,2,4,3,2,3,3,4,1,2,3,3,3,2,1,3,5,2,2,1,1,1,1,2,1,1,5,3
2,1,4,3,2,2,2,2,5,4,4,3,4,2,2,3,2,2,3,5,2,3,1,2,2,4,4,3,4,2,1,2,3,2,1,4,1
3,4,4,3,3,1,2,4,4,3,3,3,2,2,4,4,2,2,3,3,2,2,5,1,2,2,2,4,4,2,1,1,4,1,1,2,2
1,2,5,4,1,1,1,1,2,1,1,1,3,5,1,1,4,1,1,1,4,1,4,1,1,1,1,4,4,4,1,1,1,1,1,1,1
1,4,2,1,3,2,4,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4,4,2,4,2,4,2,4,3,2,3,4,2,4,2,3,3,2,2,4,2,2,4,2,2,4,4,3,2,2,2,2,3,2,2,3,1
2,4,4,2,2,2,2,2,5,2,2,4,4,4,4,5,5,1,2,4,2,1,1,1,5,4,2,2,4,1,4,1,2,4,1,4,1
3,4,2,3,3,2,3,3,1,3,1,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3,2,2,2,1,1,1,2,1,1,4,2
1,1,3,2,1,1,4,1,1,1,1,4,1,4,1,1,4,1,4,1,1,3,3,1,1,5,1,5,1,1,1,1,1,1,1,1,1
2,2,5,4,3,3,4,1,4,3,3,5,2,5,3,2,5,1,5,5,5,3,4,5,4,5,2,3,1,1,2,2,1,1,2,5,3
1,1,3,3,1,3,1,1,3,1,3,1,2,2,2,2,4,1,1,4,1,1,1,1,1,5,1,1,3,1,3,1,2,3,1,3,1
3,4,4,4,2,3,2,1,2,4,4,5,3,2,2,2,4,3,4,4,2,2,4,2,3,4,3,4,2,2,2,2,2,2,2,2,2
1,1,5,1,1,2,1,1,4,1,1,1,2,5,1,1,5,1,1,1,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1
1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,3,1,1,1,1,1,1,1,1,1
3,2,4,3,2,4,2,4,3,3,3,3,4,4,2,3,4,4,3,4,5,2,2,4,2,5,3,3,2,3,2,3,4,2,4,4,2
4,4,2,3,2,4,4,4,3,4,3,4,2,2,4,3,2,1,4,2,3,2,3,3,2,3,2,2,3,2,2,4,3,2,3,2,4
4,3,2,3,2,1,2,4,1,1,1,3,2,2,1,2,2,1,1,4,2,1,3,3,1,3,1,2,1,1,1,1,3,1,1,4,1
5,5,3,4,4,4,5,5,5,4,3,4,5,3,3,3,3,5,3,5,4,4,5,5,3,5,3,5,5,4,4,5,4,3,5,5,3
4,3,4,2,4,1,4,4,4,2,2,2,4,4,4,2,4,1,1,4,3,5,5,1,4,4,2,5,2,1,1,1,1,1,1,4,3
3,2,2,2,3,3,2,3,2,1,2,4,3,2,2,3,3,2,2,2,3,2,3,3,2,4,2,2,2,1,1,1,3,1,1,4,2
3,5,2,2,3,3,4,4,3,2,2,2,4,3,3,3,3,3,2,4,2,3,4,3,4,4,2,4,3,3,2,2,3,2,2,4,3
3,5,5,4,3,4,4,5,5,4,5,4,5,5,3,1,5,1,4,5,5,4,5,3,5,5,4,5,5,1,4,1,4,4,1,5,3
4,5,3,3,4,3,4,4,3,3,2,2,2,3,3,4,4,3,3,4,2,2,5,3,2,4,2,4,2,1,3,2,4,3,2,4,3
1,4,4,5,3,2,3,1,4,3,4,4,4,4,3,2,1,1,1,4,2,1,3,1,1,3,1,4,5,1,2,1,4,1,1,4,1
4,3,5,4,4,3,4,4,4,4,3,4,4,5,2,2,5,4,4,5,5,3,4,3,3,5,3,4,3,4,3,4,3,2,4,4,2
3,2,3,2,4,2,3,4,3,1,2,2,3,3,4,4,3,1,1,2,3,1,1,1,1,2,1,1,4,4,1,1,2,1,1,1,3
4,5,2,2,5,5,5,4,3,1,2,1,4,1,1,2,1,2,1,4,1,1,4,1,1,4,1,4,2,2,2,1,1,2,1,4,4
2,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,5,2,3,4,3,3,3,3,2,3,5,3
2,2,4,3,2,2,2,2,2,2,2,3,2,4,2,3,4,4,3,2,4,3,4,3,4,4,2,4,3,2,1,2,2,2,2,3,2
2,4,4,4,2,2,4,4,4,4,4,4,2,4,3,4,4,3,3,2,4,3,4,4,4,3,3,4,4,2,2,4,2,2,4,3,2
5,3,4,3,2,2,4,4,2,4,2,2,4,2,1,3,4,1,2,1,2,1,2,1,5,2,1,2,1,1,1,2,1,1,2,4,1
2,1,4,2,2,3,2,1,2,2,2,2,4,2,4,3,4,3,2,4,2,4,1,1,5,4,2,5,2,2,2,1,2,1,1,2,2
1,3,2,1,1,2,3,2,1,1,1,1,4,2,3,4,2,1,1,5,1,1,4,1,1,5,1,3,1,1,3,1,1,1,1,5,1
4,4,5,2,4,3,4,4,4,2,2,2,4,4,2,3,4,2,2,4,3,3,4,3,3,4,2,4,4,3,3,3,4,3,2,4,2
1,4,4,3,1,3,2,2,2,4,3,2,4,3,1,3,4,2,2,3,4,1,3,3,1,4,3,2,2,2,1,1,1,1,1,4,1
4,4,4,2,2,2,4,4,4,2,2,2,4,2,1,4,4,2,2,2,4,3,5,2,4,5,2,5,2,1,2,1,1,1,1,5,1
3,4,2,1,2,1,4,1,1,1,1,1,3,1,1,1,3,1,1,4,2,2,2,1,2,3,1,2,1,1,1,1,1,1,1,3,1
3,3,5,4,4,5,4,4,5,5,4,5,5,5,2,3,4,5,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,5,4
5,4,1,2,4,4,3,4,4,1,3,1,1,2,2,3,2,4,1,1,1,5,4,3,1,4,1,4,2,5,1,4,5,1,1,1,1
2,4,4,4,2,4,4,3,4,4,2,4,2,3,4,5,5,1,2,2,4,1,2,1,2,4,4,2,3,1,2,1,3,2,1,2,2
5,5,4,2,4,3,5,4,4,2,4,3,4,2,2,4,2,1,1,4,2,4,4,2,3,5,1,5,4,1,1,1,4,2,1,4,2
5,4,2,1,2,2,4,3,4,1,4,5,5,1,2,2,2,1,1,4,4,4,5,2,2,4,1,5,4,1,2,1,3,2,1,5,2
4,3,4,1,4,2,3,4,4,2,2,4,4,4,3,3,4,3,2,4,4,3,3,3,3,4,2,3,3,3,4,3,2,2,3,5,3
2,3,4,3,2,2,2,4,2,2,2,2,4,2,1,4,4,1,2,3,2,1,2,2,4,4,2,2,2,2,3,2,2,2,2,4,1
3,2,2,3,3,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,3,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1
5,5,4,2,4,5,4,5,5,2,3,4,5,4,3,2,4,4,2,4,4,5,5,2,2,5,2,4,4,1,3,1,4,3,2,5,1
4,4,5,4,3,4,3,3,4,4,3,5,4,5,3,3,5,2,2,3,5,3,5,5,4,5,3,5,3,1,2,1,3,2,2,5,3
4,2,5,4,4,4,4,4,2,4,4,4,4,4,1,2,4,1,2,4,4,3,4,1,4,5,4,5,1,1,3,1,1,1,1,4,2
5,5,4,2,2,1,1,5,1,1,1,1,5,4,1,1,5,1,4,5,4,1,5,1,1,5,1,4,1,1,1,1,1,1,1,5,1
2,2,5,5,2,1,2,2,2,3,2,4,5,4,1,2,3,1,2,4,2,1,2,1,3,4,4,3,2,1,1,1,2,1,1,5,1
2,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4,1
2,3,4,3,4,2,4,3,2,2,3,2,4,4,3,4,4,2,2,4,4,3,4,2,3,4,2,4,3,4,2,2,3,3,2,4,3
2,4,4,2,2,3,4,2,2,2,2,2,4,2,1,2,4,3,2,4,2,2,2,2,2,5,1,1,2,4,2,1,1,1,1,3,2
4,5,5,5,4,5,5,5,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,2,2,4,4,4,4,4,2,1,4,2,2,4,4
1,1,5,1,1,1,3,1,1,1,1,1,1,4,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,5,5,5,5,4,5,5,5,2,5,5,3,3,3,5,3,4,4,3,4,5,3,1,5,5,5,3,2,1,1,5,3,2,5,4
5,3,5,5,5,2,5,5,3,4,4,5,5,5,1,3,5,4,4,5,5,4,5,4,4,5,5,5,3,3,1,3,1,1,1,5,5
3,3,2,4,4,2,2,4,2,4,2,3,4,2,1,2,3,2,3,3,2,2,4,2,3,4,2,4,2,4,4,1,2,3,3,4,1
2,4,5,4,5,2,4,4,5,4,2,4,5,4,1,4,4,3,4,5,4,4,4,2,2,5,4,5,5,2,3,2,3,2,2,4,4
1,1,3,2,2,1,2,1,3,2,1,3,4,3,1,4,4,1,2,1,2,1,4,1,2,5,2,4,1,1,1,1,1,1,1,4,1
2,2,3,3,3,2,2,2,3,3,2,3,1,3,3,4,3,1,3,1,2,2,3,1,1,4,3,3,2,1,1,1,4,1,1,3,3
2,2,5,5,3,4,3,4,3,4,3,5,3,4,2,3,4,2,4,1,3,4,5,2,2,5,3,5,3,2,1,2,4,1,2,5,1
2,4,5,3,4,5,5,4,4,2,4,3,3,4,4,2,5,4,2,4,4,3,3,4,3,5,2,3,4,1,1,2,4,3,3,5,3
2,3,4,4,2,1,2,4,3,5,2,5,4,3,1,5,4,2,4,4,2,2,3,1,1,5,4,4,2,1,1,1,2,1,1,2,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,3,1,1,2,1,2,1,2,2,1,2,1
1,4,4,4,3,2,1,1,3,3,1,4,1,1,1,5,4,1,3,1,2,1,5,1,1,4,2,4,1,1,1,1,1,1,1,4,1
4,3,4,2,4,3,3,3,3,2,2,2,4,3,2,2,3,1,2,4,2,4,5,2,2,5,2,5,2,2,2,2,3,2,1,3,2
1,5,4,5,4,3,5,2,2,5,4,5,3,2,1,2,1,1,2,3,4,1,5,1,1,5,2,5,5,1,1,1,5,1,1,5,1
5,2,2,4,4,4,4,3,4,2,5,4,4,2,4,5,3,5,2,5,2,4,4,4,4,5,1,4,4,4,2,1,1,2,2,4,1
4,5,4,3,4,5,3,4,5,3,5,4,5,4,5,3,4,1,3,5,4,2,5,3,4,5,3,4,5,4,4,3,2,4,2,5,3
1,5,2,1,2,3,4,4,2,1,3,2,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,1,1,2,1
3,4,5,1,2,2,4,3,2,1,2,3,2,4,3,2,4,1,1,1,2,2,4,1,1,2,1,4,1,1,1,1,2,2,1,2,2
4,2,3,4,4,3,4,4,2,4,2,3,4,2,2,3,4,2,2,3,2,2,4,2,2,2,3,4,2,2,3,2,2,2,1,4,1
4,5,4,3,3,2,3,4,4,3,3,4,3,3,2,4,4,1,3,3,2,3,3,2,3,3,2,3,4,2,2,1,2,1,1,4,2
4,3,4,2,2,1,2,3,1,2,1,4,2,4,3,5,3,1,2,2,2,1,2,1,4,5,2,4,1,1,1,1,1,1,1,4,1
5,5,4,3,4,1,5,5,1,3,1,2,3,3,1,1,2,3,2,4,3,2,5,3,3,4,2,4,3,1,4,1,3,2,1,4,2
3,3,2,1,1,2,1,2,1,1,1,3,3,3,2,2,2,4,1,2,1,2,2,2,5,4,1,3,1,1,2,3,2,1,3,3,1
4,4,5,2,3,1,3,4,2,2,2,2,4,4,2,4,5,3,2,4,4,3,4,4,2,4,2,4,4,3,2,4,3,1,4,4,2
4,5,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2
2,2,5,4,1,1,2,1,2,4,2,4,4,5,4,4,5,5,3,2,5,2,2,5,5,3,4,3,4,5,2,5,3,1,5,4,2
4,4,2,4,3,3,3,4,2,3,3,4,3,3,2,2,3,2,3,4,4,3,4,2,4,3,3,4,3,2,3,2,3,2,2,5,3
1,1,5,1,4,2,1,1,4,1,1,1,4,5,3,3,5,1,1,3,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1
1,1,4,3,4,4,3,1,4,3,3,2,4,5,4,3,5,5,3,4,2,2,5,4,1,2,3,5,1,4,1,4,3,2,4,1,4
4,3,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,4,5,4,3
5,2,3,4,5,1,4,3,2,3,1,3,2,2,1,2,2,1,2,4,4,4,4,4,3,5,2,5,2,1,2,1,2,1,1,4,2
4,4,5,2,3,4,3,2,4,2,4,3,4,4,2,2,5,1,2,3,2,2,4,1,4,3,2,4,3,2,3,1,2,2,2,3,3
2,4,2,4,4,2,4,3,2,5,2,4,2,3,2,4,4,4,4,4,3,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,2
4,4,2,3,1,4,4,4,2,3,1,1,2,3,3,3,2,1,1,1,1,1,2,3,3,4,1,1,3,1,1,1,4,1,1,5,1
4,5,5,4,3,3,4,4,4,3,4,4,4,5,3,5,5,3,4,4,4,3,5,3,5,5,3,4,4,2,1,2,5,2,2,4,2
2,4,4,1,3,4,4,2,1,1,1,1,3,2,1,1,4,1,1,4,1,2,3,1,1,4,1,3,2,1,1,1,4,1,1,4,1
2,5,5,4,2,2,4,2,3,3,4,4,4,5,1,2,4,2,2,4,4,4,4,3,2,2,2,4,4,2,2,2,4,2,2,4,3
5,5,3,4,3,5,5,5,5,4,4,5,4,4,5,5,4,3,4,3,3,3,4,2,1,5,4,3,4,2,4,2,5,5,2,3,3
4,4,4,4,5,2,5,4,3,4,3,4,3,2,1,1,3,2,2,3,4,4,3,2,4,5,2,2,3,2,2,1,2,1,1,3,3
4,5,4,1,3,4,3,5,4,1,3,2,2,1,2,4,4,1,1,5,1,2,4,1,2,5,1,4,2,1,3,1,5,2,1,5,1
3,3,3,2,1,2,3,2,2,1,1,3,2,3,1,3,2,2,2,2,1,1,2,2,1,4,1,2,1,2,2,1,2,1,1,4,1
2,2,2,4,1,1,1,1,1,1,1,2,1,2,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1
5,5,4,3,4,4,4,5,4,4,3,3,5,4,4,4,4,3,3,5,3,5,4,3,4,5,3,4,4,3,3,3,4,3,3,5,4
4,4,4,2,4,1,4,4,4,1,4,2,4,4,4,2,4,2,1,4,2,4,4,2,2,4,1,4,4,2,1,1,2,2,1,4,2
2,4,5,5,5,4,5,2,3,4,3,4,4,4,3,4,4,2,4,5,4,3,4,1,1,5,4,4,2,1,3,1,2,2,2,4,2
1,4,5,3,4,4,4,4,4,3,3,3,2,5,5,4,5,4,2,4,4,3,3,3,3,3,3,3,5,3,2,3,2,1,1,3,2
1,1,2,1,1,2,1,2,1,1,1,1,4,2,1,1,4,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,2,1,2,1
4,3,5,3,4,1,3,3,3,2,1,3,4,3,1,2,4,4,2,4,2,4,5,3,3,5,2,5,1,4,3,3,2,2,3,4,3
4,4,4,2,2,1,2,2,2,1,1,1,3,2,1,4,4,2,1,4,2,2,2,2,2,4,1,1,2,1,1,1,2,1,1,2,1
3,4,5,2,2,3,3,3,3,2,2,2,4,4,1,1,4,4,2,3,3,3,4,3,4,4,1,3,4,1,4,1,2,4,1,4,1
2,2,4,1,4,2,1,2,3,1,2,1,2,4,3,4,4,4,1,2,2,1,3,3,1,4,1,3,2,4,1,2,1,1,2,5,1
2,1,4,4,3,1,4,3,2,4,1,5,4,2,1,5,4,1,4,2,2,2,3,2,2,4,2,3,1,1,1,1,2,1,1,5,3
5,5,4,5,5,5,3,4,5,5,4,5,4,4,5,5,5,5,5,5,4,4,5,5,2,5,5,5,5,3,4,3,5,2,2,5,4
1,4,2,2,1,1,3,5,2,1,2,3,4,2,4,5,2,3,2,3,1,1,2,2,3,4,1,1,2,2,1,2,4,1,2,1,1
3,2,4,2,2,4,3,3,4,2,3,3,2,2,3,4,3,2,2,3,2,3,4,2,2,3,2,3,4,1,1,1,4,2,1,3,1
1,4,5,1,3,4,4,1,3,1,2,1,4,4,5,4,4,2,1,1,4,4,4,1,1,2,1,3,4,1,3,1,5,3,1,4,1
4,3,4,3,4,5,4,3,5,4,3,3,5,4,3,4,5,4,3,3,4,5,4,4,5,4,3,4,5,4,5,4,3,4,5,4,3
5,4,5,3,3,3,4,5,4,4,4,4,4,4,1,4,4,3,4,5,4,4,4,1,4,5,3,4,4,1,4,1,4,2,1,5,4
1,2,1,3,3,1,4,2,2,3,2,3,4,2,1,5,1,1,3,3,1,1,4,1,1,4,3,4,1,1,1,1,1,1,1,4,2
4,4,3,3,5,3,4,4,3,4,2,4,4,3,2,3,2,2,2,4,2,1,4,1,2,4,3,3,2,1,4,1,2,2,1,4,2
2,5,5,4,2,5,4,2,2,3,2,4,3,5,1,5,5,1,3,5,5,2,2,2,1,2,2,2,5,2,5,2,2,2,2,2,2
2,4,4,1,5,4,2,3,1,1,1,1,4,3,4,4,4,1,1,4,3,1,1,3,3,4,1,1,1,1,1,1,4,1,1,3,2
4,4,4,2,2,4,2,4,4,2,2,2,4,3,1,2,4,4,2,5,2,3,4,2,2,5,2,5,2,1,2,1,4,2,2,4,1
2,5,5,4,3,4,4,2,2,1,1,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,1
2,3,4,1,1,1,2,2,3,1,1,1,3,2,1,3,4,1,1,4,3,1,1,1,1,4,1,1,2,1,1,1,3,2,1,2,1
2,4,4,2,3,2,4,4,3,2,2,2,4,4,2,3,4,2,2,4,3,4,4,2,2,4,2,4,3,2,4,2,3,2,4,5,4
3,4,1,4,5,3,5,4,3,4,3,4,2,2,5,3,2,1,4,4,2,3,4,5,1,4,4,4,1,4,1,1,5,2,4,5,2
5,5,4,3,5,3,5,5,3,3,1,3,3,2,1,2,5,1,3,3,2,1,5,1,3,5,3,5,3,1,1,1,1,1,1,1,1
4,3,5,2,3,1,3,3,4,2,3,3,3,4,2,2,5,2,1,2,4,2,4,3,3,4,2,3,3,2,2,2,3,1,2,4,2
